DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BG,2013,1.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BG,2014,1.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BG,2015,1.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BG,2016,1.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BG,2017,1.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BG,2018,1.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BG,2019,1.6,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BG,2020,1.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BY,2009,3.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BY,2010,3.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BY,2011,4.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BY,2012,4.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BY,2013,3.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BY,2014,3.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BY,2015,3.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BY,2016,3.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BY,2017,3.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BY,2018,3.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CH,2009,2.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CH,2010,2.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CH,2011,2.2,b
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CH,2012,2.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CH,2013,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CH,2014,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CH,2015,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CH,2016,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CH,2017,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CH,2018,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CH,2019,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CH,2020,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CY,2009,2.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CY,2010,2.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CY,2011,2.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CY,2012,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CY,2013,2.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CY,2014,2.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CY,2015,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CY,2016,2.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CY,2017,2.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CY,2018,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CY,2019,2.6,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CZ,2009,2.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CZ,2010,2.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CZ,2011,2.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CZ,2012,2.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CZ,2013,2.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CZ,2014,2.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CZ,2015,2.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CZ,2016,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CZ,2017,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CZ,2018,2.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CZ,2019,2.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,CZ,2020,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DE,2009,2.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DE,2010,2.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DE,2011,2.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DE,2012,2.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DE,2013,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DE,2014,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DE,2015,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DE,2016,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DE,2017,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DE,2018,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DE,2019,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DE,2020,1.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DK,2009,2.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DK,2010,2.6,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DK,2011,2.6,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DK,2012,2.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DK,2013,3.4,
