;EU27 (2020) - European Union 27 (since 2020);EU28 - European Union (28 countries);EA19 - Euro Area (19 countries);DE - Germany;AT - Austria;BE - Belgium;BG - Bulgaria;CY - Cyprus;HR - Croatia;DK - Denmark;SK - Slovakia;SI - Slovenia;ES - Spain;EE - Estonia;FI - Finland;FR - France;GR - Greece;HU - Hungary;IE - Ireland;IT - Italy;LV - Latvia;LT - Lithuania;LU - Luxembourg;MT - Malta;NL - Netherlands;PL - Poland;PT - Portugal;CZ - Czech Republic;RO - Romania;SE - Sweden;IS - Iceland;NO - Norway;UK - United Kingdom;CH - Switzerland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011; 16,2; 17,1; 17,3; 22,4; 23,5; 9,4; 13,2; 16,1;x; 16,4; 20,1; 3,3; 17,6; 27,3; 19,1; 15,7;x; 18,0; 12,7; 5,7; 14,1; 11,5; 7,9; 7,7; 18,8; 5,5; 12,9; 22,6; 9,6; 15,6; 17,8; 15,7; 21,8; 17,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012; 16,4; 17,4; 17,6; 22,7; 22,9; 8,3; 15,1; 15,6;x; 16,8; 20,8; 4,5; 18,7; 29,9; 19,2; 15,6;x; 20,1; 12,2; 6,5; 14,9; 11,9; 7,0; 9,5; 18,0; 6,4; 15,0; 22,5; 6,9; 15,5; 17,7; 14,7; 22,6; 17,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013; 16,0; 16,8; 17,1; 22,1; 22,3; 7,5; 14,1; 14,9; 7,7; 16,5; 18,8; 6,3; 17,8; 29,8; 18,8; 15,5;x; 18,4; 12,9; 7,0; 16,0; 12,2; 6,2; 9,7; 17,2; 7,1; 13,3; 22,3; 4,9; 14,6; 19,0; 15,5; 21,0; 17,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014; 15,7; 16,6; 16,8; 22,3; 22,2; 6,6; 14,2; 14,2; 8,7; 16,0; 19,7; 7,0; 14,9; 28,1; 18,4; 15,5; 12,5; 15,1; 13,9; 6,1; 17,3; 13,3; 5,4; 10,6; 17,0; 7,7; 14,9; 22,5; 4,5; 13,8; 16,7; 14,5; 20,9; 17,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015; 15,5; 16,4; 16,5; 21,8; 21,8; 6,4; 15,5; 13,2;x; 15,1; 19,7; 8,2; 14,1; 26,7; 17,5; 15,6;x; 14,0;Pro 13,9;Pro 5,5; 18,4; 14,2; 4,7; 10,7; 16,1; 7,3; 16,0; 22,5;s 5,6; 14,0; 17,5; 16,0; 21,0; 17,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016; 15,1; 16,1; 16,2; 21,1; 20,8; 6,0; 14,6; 12,3; 11,6; 15,1; 19,2; 8,1; 14,8; 24,8; 17,5; 15,9;x; 14,0;Pro 14,2;Pro 5,3; 19,7; 14,4; 3,9; 11,6; 15,6; 7,1; 13,9; 21,5;s 4,8; 13,3; 15,8; 14,5; 20,7; 17,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017; 14,6; 15,7; 15,7; 20,4; 20,7; 5,8; 14,3; 11,2; 12,3; 14,8; 20,1; 8,4; 13,5; 24,9; 17,1; 16,3;x;_  15,9;Pro 14,4;Pro 5,0; 19,8; 15,2; 2,6; 13,2; 15,1; 7,0; 10,8; 21,1;s 2,9; 12,5; 15,3; 13,7; 20,8; 17,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018; 14,4; 15,3; 15,3; 20,1; 20,4; 5,8; 13,9; 10,4; 11,4; 14,6; 19,8; 9,3; 11,9; 21,8; 16,9; 16,7; 10,4; 14,2; 11,3; 5,5; 19,6; 14,0; 1,4; 13,0; 14,7; 8,5; 8,9; 20,1; 2,2; 12,1; 13,8; 13,2; 19,8; 18,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019; 14,1;x; 14,9;Pro 19,2;Pro 19,9;Pro 5,8;Pro 14,1;Pro 10,1;Pro 11,5; 14,0; 18,4;Pro 7,9; 9,4;Pro 21,7; 16,6;Pro 16,2;x;_  18,2;x;Pro 4,7;Pro 21,2;Pro 13,3;Pro 1,3;Pro 11,6;Pro 14,6; 6,5;Pro 10,9; 19,2;s 3,3;Pro 11,8;x;x;x;Pro 18,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;x;x;x;Pro 18,3;Pro 18,9;Pro 5,3;Pro 12,7;Pro 9,0;Pro 11,2; 13,9; 15,8;Pro 3,1;Pro 9,4;Pro 21,1; 16,7;Pro 15,8;x; 17,2;x;x;Pro 22,3;Pro 13,0;Pro 0,7;Pro 10,0;Pro 14,2; 4,5;Pro 11,4; 16,4;s 2,4;x;x;x;x;Pro 18,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
